NonTerminal,FIRST,FOLLOW
AND_OP,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new not null ref true",") , ; do else end fi in od then ||"
AND_OP',"&& ε",") , ; do else end fi in od then ||"
AND_OP3,"&& * + - / < <= <> = > >= ^","."
AND_OP4,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new not null ref true",". ||"
AND_OP4',"&& ε",". ||"
ASSIGN_STMT,":=","; else end fi od"
BOOL_LITERAL,"false true","&& ) * + , - . / ; < <= <> = > >= ^ do else end fi in od then ||"
CALL_ARGS,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new not null ref true ε",")"
CALL_ARGS',", ε",")"
CALL_STMT,"( ε","&& ) * + , - . / ; < <= <> = > >= ^ do else end fi in od then ||"
DECL,"enum procedure struct var","; end in"
DEREF_VAR,"deref","&& ) * + , - . / := ; < <= <> = > >= ^ do else end fi in od then ||"
DEREF_VAR',"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new not null ref true",")"
ELSE_STMT,"else ε","fi"
ENUM_DECL,"enum","; end in"
ENUM_DECL',", ε","}"
EXP,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new not null ref true",") , ; do else end fi in od then"
EXP2,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false new not null ref true","."
EXP3,"&& * + - / < <= <> = > >= ^ ||","."
EXP4,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new not null ref true",""
EXP5,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL false new not null ref true","."
EXP_ARITH,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new null ref true","&& ) , ; < <= <> = > >= do else end fi in od then ||"
EXP_ARITH',"+ - ε","&& ) , ; < <= <> = > >= do else end fi in od then ||"
EXP_ARITH3,"* + - / ^","."
EXP_ARITH4,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new null ref true","&& . < <= <> = > >= ||"
EXP_ARITH4',"+ - ε","&& . < <= <> = > >= ||"
EXP_REL,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new null ref true","&& ) , ; do else end fi in od then ||"
EXP_REL',"< <= <> = > >= ε","&& ) , ; do else end fi in od then ||"
EXP_REL3,"* + - / < <= <> = > >= ^","."
EXP_REL4,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new null ref true","&& . ||"
EXP_REL4',"< <= <> = > >= ε","&& . ||"
FACT,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new null ref true","&& ) * + , - . / ; < <= <> = > >= ^ do else end fi in od then ||"
FACT2,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false new null ref true","&& * + - / < <= <> = > >= ^ ||"
FACT3,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new null ref true",". ^"
FACT4,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new null ref true","&& * + - . / < <= <> = > >= ^ ||"
FACT5,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL false new null ref true","&& * + - / < <= <> = > >= ^ ||"
IF_STMT,"if","; else end fi od"
LITERAL,"FLOAT_LITERAL INT_LITERAL STRING_LITERAL false null true","&& ) * + , - . / ; < <= <> = > >= ^ do else end fi in od then ||"
NOT_OP,"( FLOAT_LITERAL INT_LITERAL STRING_LITERAL deref false id new not null ref true","&& ) , ; do else end fi in od then ||"
