Não-Terminal,&&,(,),*,+,,,-,.,/,:,:=,;,<,<=,<>,=,>,>=,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,^,begin,bool,deref,do,else,end,enum,false,fi,float,id,if,in,int,new,not,null,od,procedure,program,ref,return,string,struct,then,true,var,while,||,}
TYPE,,,,,,,,,,,,,,,,,,,,,,,,bool,,,,,,,,float,id,,,int,,,,,,,ref ( TYPE ),,string,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return ( EXP ),,,,,,,,
STMT,,EXP5 . id VAR2_' ASSIGN_STMT,,,,,,,,,,,,,,,,,EXP5 . id VAR2_' ASSIGN_STMT,EXP5 . id VAR2_' ASSIGN_STMT,EXP5 . id VAR2_' ASSIGN_STMT,,,,DEREF_VAR STMT_DEREF' ASSIGN_STMT,,,,,EXP5 . id VAR2_' ASSIGN_STMT,,,id STMT',IF_STMT,,,EXP5 . id VAR2_' ASSIGN_STMT,EXP5 . id VAR2_' ASSIGN_STMT,EXP5 . id VAR2_' ASSIGN_STMT,,,,EXP5 . id VAR2_' ASSIGN_STMT,RETURN_STMT,,,,EXP5 . id VAR2_' ASSIGN_STMT,,WHILE_STMT,,
FACT4,,( EXP ),,,,,,,,,,,,,,,,,LITERAL,LITERAL,LITERAL,,,,DEREF_VAR,,,,,LITERAL,,,id CALL_STMT,,,,new id,,LITERAL,,,,REF_VAR,,,,,LITERAL,,,,
POW4',ε,,,ε,ε,,ε,ε,ε,,,,ε,ε,ε,ε,ε,ε,,,,^ POW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,
TERM4',ε,,,* POW4 TERM4',ε,,ε,ε,/ POW4 TERM4',,,,ε,ε,ε,ε,ε,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,
TERM4,,POW4 TERM4',,,,,,,,,,,,,,,,,POW4 TERM4',POW4 TERM4',POW4 TERM4',,,,POW4 TERM4',,,,,POW4 TERM4',,,POW4 TERM4',,,,POW4 TERM4',,POW4 TERM4',,,,POW4 TERM4',,,,,POW4 TERM4',,,,
EXP_ARITH4',ε,,,,+ TERM4 EXP_ARITH4',,- TERM4 EXP_ARITH4',ε,,,,,ε,ε,ε,ε,ε,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,
EXP_ARITH4,,TERM4 EXP_ARITH4',,,,,,,,,,,,,,,,,TERM4 EXP_ARITH4',TERM4 EXP_ARITH4',TERM4 EXP_ARITH4',,,,TERM4 EXP_ARITH4',,,,,TERM4 EXP_ARITH4',,,TERM4 EXP_ARITH4',,,,TERM4 EXP_ARITH4',,TERM4 EXP_ARITH4',,,,TERM4 EXP_ARITH4',,,,,TERM4 EXP_ARITH4',,,,
EXP_REL4',ε,,,,,,,ε,,,,,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,
NOT_OP4',,ε,,,,,,,,,,,,,,,,,ε,ε,ε,,,,ε,,,,,ε,,,ε,,,,ε,not NOT_OP4',ε,,,,ε,,,,,ε,,,,
AND_OP4,,NOT_OP4 AND_OP4',,,,,,,,,,,,,,,,,NOT_OP4 AND_OP4',NOT_OP4 AND_OP4',NOT_OP4 AND_OP4',,,,NOT_OP4 AND_OP4',,,,,NOT_OP4 AND_OP4',,,NOT_OP4 AND_OP4',,,,NOT_OP4 AND_OP4',NOT_OP4 AND_OP4',NOT_OP4 AND_OP4',,,,NOT_OP4 AND_OP4',,,,,NOT_OP4 AND_OP4',,,,
OR_OP4',,,,,,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|| AND_OP4 OR_OP4',
